epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1061.1,1.01053,0.65115,1.23624,0.92808,0.92114,0.95242,0.65,1.1647,0.53851,1.34081,0.0004555,0.0004555,0.0004555
57,1079.65,1.00502,0.64093,1.22677,0.94036,0.91491,0.95539,0.65093,1.1687,0.55028,1.33402,0.0004456,0.0004456,0.0004456
58,1098.33,0.9956,0.64263,1.23124,0.93629,0.92281,0.9555,0.6525,1.15947,0.54052,1.32308,0.0004357,0.0004357,0.0004357
59,1117.06,1.00001,0.64657,1.22669,0.9159,0.92602,0.95248,0.65019,1.15305,0.53957,1.32609,0.0004258,0.0004258,0.0004258
60,1135.6,0.98906,0.63599,1.22662,0.94395,0.90401,0.95695,0.65719,1.14659,0.53643,1.31412,0.0004159,0.0004159,0.0004159
61,1155.06,0.99202,0.63759,1.22787,0.94059,0.93277,0.96013,0.65886,1.15975,0.53583,1.32331,0.000406,0.000406,0.000406
62,1174.23,0.99063,0.62454,1.22267,0.92971,0.92894,0.95758,0.65362,1.15629,0.53698,1.32344,0.0003961,0.0003961,0.0003961
63,1193.16,0.9772,0.62571,1.20979,0.94515,0.90471,0.956,0.65466,1.15701,0.5379,1.32643,0.0003862,0.0003862,0.0003862
64,1211.91,0.98006,0.62276,1.21493,0.94304,0.9174,0.95912,0.65154,1.15505,0.52668,1.32114,0.0003763,0.0003763,0.0003763
65,1230.81,0.97701,0.61052,1.20502,0.9243,0.92523,0.95877,0.65961,1.13179,0.53035,1.30618,0.0003664,0.0003664,0.0003664
66,1250,0.96602,0.616,1.20999,0.94137,0.92084,0.95469,0.65857,1.12712,0.52486,1.30011,0.0003565,0.0003565,0.0003565
67,1268.62,0.97723,0.61391,1.20611,0.93021,0.94165,0.96072,0.666,1.13897,0.5136,1.3076,0.0003466,0.0003466,0.0003466
68,1287.9,0.97012,0.6142,1.20541,0.93611,0.92675,0.95667,0.65926,1.13472,0.52254,1.30222,0.0003367,0.0003367,0.0003367
69,1306.73,0.94975,0.59819,1.19746,0.93884,0.93122,0.96012,0.66066,1.13966,0.51542,1.31135,0.0003268,0.0003268,0.0003268
70,1325.49,0.96116,0.60649,1.20051,0.93077,0.93242,0.96015,0.66158,1.13285,0.51921,1.30734,0.0003169,0.0003169,0.0003169
71,1344.46,0.94847,0.59655,1.19793,0.93973,0.92862,0.96129,0.66304,1.13411,0.51029,1.31078,0.000307,0.000307,0.000307
72,1362.85,0.94709,0.58914,1.19135,0.94313,0.91193,0.95989,0.66115,1.1318,0.51671,1.30702,0.0002971,0.0002971,0.0002971
73,1381.3,0.94158,0.58981,1.18902,0.9334,0.92782,0.95952,0.66313,1.12774,0.50974,1.30571,0.0002872,0.0002872,0.0002872
74,1400.22,0.92333,0.57483,1.18366,0.9463,0.91393,0.96038,0.66221,1.13695,0.51453,1.30975,0.0002773,0.0002773,0.0002773
75,1418.92,0.92704,0.57888,1.18399,0.93997,0.92955,0.96284,0.66895,1.12673,0.51167,1.30009,0.0002674,0.0002674,0.0002674
76,1438.15,0.93033,0.58461,1.18265,0.94507,0.92859,0.9587,0.66358,1.1278,0.5134,1.30124,0.0002575,0.0002575,0.0002575
77,1456.88,0.92083,0.57532,1.18735,0.94503,0.91968,0.95979,0.66652,1.12309,0.51448,1.29715,0.0002476,0.0002476,0.0002476
78,1473.38,0.91988,0.56823,1.17048,0.93764,0.92494,0.95959,0.66808,1.12877,0.50931,1.29992,0.0002377,0.0002377,0.0002377
79,1490.87,0.91232,0.56314,1.17544,0.94102,0.91655,0.95922,0.66669,1.1264,0.51082,1.29816,0.0002278,0.0002278,0.0002278
80,1509.53,0.91864,0.56698,1.17713,0.94131,0.92421,0.95823,0.66835,1.11884,0.51391,1.29562,0.0002179,0.0002179,0.0002179
81,1527.82,0.90561,0.55638,1.17173,0.92735,0.93333,0.96266,0.67083,1.12497,0.50601,1.30191,0.000208,0.000208,0.000208
82,1546.58,0.89221,0.55358,1.16493,0.92898,0.93487,0.96022,0.67061,1.12806,0.50188,1.30308,0.0001981,0.0001981,0.0001981
83,1565.37,0.89253,0.54663,1.1628,0.9272,0.93456,0.95746,0.66782,1.12895,0.50594,1.30775,0.0001882,0.0001882,0.0001882
84,1584.08,0.8928,0.54895,1.16799,0.92909,0.93215,0.95677,0.66757,1.12207,0.50538,1.2999,0.0001783,0.0001783,0.0001783
85,1602.31,0.8974,0.55292,1.16456,0.93147,0.93067,0.95823,0.66611,1.12432,0.51119,1.29572,0.0001684,0.0001684,0.0001684
86,1620.89,0.88245,0.53744,1.15384,0.92982,0.9283,0.95694,0.66895,1.11912,0.51086,1.29477,0.0001585,0.0001585,0.0001585
87,1639.6,0.88828,0.54595,1.1543,0.94107,0.93011,0.96015,0.67063,1.11955,0.50762,1.29508,0.0001486,0.0001486,0.0001486
88,1658.73,0.87191,0.53442,1.1525,0.94205,0.93249,0.95832,0.66689,1.12277,0.50469,1.29944,0.0001387,0.0001387,0.0001387
89,1677.93,0.8745,0.53391,1.15674,0.94207,0.92795,0.95958,0.67018,1.11838,0.50368,1.29558,0.0001288,0.0001288,0.0001288
90,1697.1,0.8824,0.54045,1.15353,0.93694,0.9286,0.96023,0.67034,1.11937,0.50212,1.29627,0.0001189,0.0001189,0.0001189
91,1717.1,0.87354,0.43833,1.17014,0.93887,0.92539,0.95753,0.6643,1.13231,0.50302,1.3075,0.000109,0.000109,0.000109
92,1735.89,0.84341,0.41866,1.15226,0.93679,0.92812,0.95375,0.66435,1.13322,0.50622,1.30913,9.91e-05,9.91e-05,9.91e-05
93,1754.92,0.8324,0.41181,1.14371,0.9363,0.9295,0.95449,0.66301,1.12712,0.50784,1.30337,8.92e-05,8.92e-05,8.92e-05
94,1773.8,0.83065,0.40867,1.13988,0.93248,0.93475,0.95622,0.665,1.12475,0.50822,1.30056,7.93e-05,7.93e-05,7.93e-05
95,1792.67,0.82063,0.40697,1.13641,0.92799,0.93721,0.9564,0.66382,1.12857,0.50565,1.30456,6.94e-05,6.94e-05,6.94e-05
96,1811.43,0.81871,0.40262,1.13532,0.93776,0.92643,0.95724,0.66602,1.12636,0.50723,1.30482,5.95e-05,5.95e-05,5.95e-05
97,1830.4,0.81432,0.39814,1.13111,0.93184,0.9321,0.95661,0.66902,1.12394,0.50413,1.30353,4.96e-05,4.96e-05,4.96e-05
98,1849.32,0.80253,0.39768,1.12165,0.93532,0.93032,0.9568,0.66734,1.1245,0.50663,1.30421,3.97e-05,3.97e-05,3.97e-05
99,1868.09,0.79438,0.39198,1.11664,0.93661,0.92761,0.95615,0.66926,1.12308,0.50391,1.30455,2.98e-05,2.98e-05,2.98e-05
100,1886.78,0.78728,0.38793,1.1168,0.93598,0.92825,0.95683,0.6684,1.12456,0.50201,1.30443,1.99e-05,1.99e-05,1.99e-05
