epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1284.21,0.99168,0.6419,1.21137,0.93494,0.91561,0.95447,0.65213,1.1548,0.55404,1.29404,0.000307,0.000307,0.000307
72,1302.6,0.9947,0.64126,1.20837,0.93428,0.91207,0.9539,0.65048,1.15822,0.55889,1.29859,0.0002971,0.0002971,0.0002971
73,1320.56,0.98724,0.64348,1.20641,0.92695,0.92066,0.9536,0.65508,1.15753,0.55701,1.29369,0.0002872,0.0002872,0.0002872
74,1338.67,0.96884,0.61865,1.19793,0.93155,0.91936,0.95504,0.64967,1.15943,0.55082,1.30102,0.0002773,0.0002773,0.0002773
75,1356.77,0.97716,0.62969,1.20147,0.93796,0.91056,0.95361,0.65,1.15864,0.55103,1.30121,0.0002674,0.0002674,0.0002674
76,1374.39,0.9736,0.63244,1.19782,0.92854,0.92493,0.9526,0.64931,1.15704,0.54577,1.29622,0.0002575,0.0002575,0.0002575
77,1392.13,0.96724,0.62209,1.20483,0.9334,0.9154,0.95057,0.6518,1.16018,0.54962,1.29208,0.0002476,0.0002476,0.0002476
78,1409.69,0.96463,0.61465,1.18683,0.94489,0.90806,0.95351,0.65084,1.15808,0.54506,1.29517,0.0002377,0.0002377,0.0002377
79,1427.78,0.9507,0.60648,1.18734,0.93583,0.92285,0.95202,0.65253,1.16417,0.54727,1.29934,0.0002278,0.0002278,0.0002278
80,1445.57,0.96953,0.61788,1.19205,0.93672,0.91763,0.95155,0.65159,1.15644,0.54613,1.29322,0.0002179,0.0002179,0.0002179
81,1462.78,0.95382,0.6087,1.18839,0.93662,0.92712,0.9537,0.65535,1.15266,0.54278,1.28754,0.000208,0.000208,0.000208
82,1480.87,0.94185,0.60279,1.18402,0.93345,0.92384,0.95148,0.65085,1.15461,0.54259,1.29282,0.0001981,0.0001981,0.0001981
83,1499.47,0.94103,0.59431,1.17875,0.93512,0.92559,0.95224,0.65348,1.14809,0.53881,1.2912,0.0001882,0.0001882,0.0001882
84,1517.13,0.94148,0.59931,1.18438,0.93644,0.92062,0.95442,0.65426,1.14758,0.53341,1.28708,0.0001783,0.0001783,0.0001783
85,1535.38,0.94695,0.60467,1.18286,0.93912,0.92029,0.95306,0.65802,1.14369,0.53778,1.28549,0.0001684,0.0001684,0.0001684
86,1553.32,0.9282,0.58855,1.17134,0.9312,0.92546,0.9547,0.66198,1.13759,0.53261,1.28199,0.0001585,0.0001585,0.0001585
87,1571.72,0.93662,0.59411,1.17008,0.94239,0.92242,0.95384,0.65786,1.13926,0.53192,1.28315,0.0001486,0.0001486,0.0001486
88,1589.85,0.91806,0.58087,1.16844,0.93404,0.92702,0.95342,0.65712,1.146,0.53527,1.28973,0.0001387,0.0001387,0.0001387
89,1608.05,0.92306,0.5783,1.17205,0.93664,0.92747,0.95429,0.6578,1.14422,0.53557,1.28772,0.0001288,0.0001288,0.0001288
90,1625.83,0.9282,0.58796,1.16909,0.92495,0.92987,0.95332,0.65612,1.14893,0.53757,1.29121,0.0001189,0.0001189,0.0001189
91,1644.08,0.92547,0.48442,1.19065,0.92476,0.92211,0.95188,0.6571,1.14741,0.54041,1.28821,0.000109,0.000109,0.000109
92,1662.3,0.89162,0.46351,1.16946,0.93712,0.90903,0.95036,0.65327,1.14959,0.54321,1.2899,9.91e-05,9.91e-05,9.91e-05
93,1680.74,0.88727,0.45629,1.16712,0.93994,0.90893,0.94959,0.65542,1.14782,0.54514,1.28911,8.92e-05,8.92e-05,8.92e-05
94,1699.19,0.88685,0.45621,1.16578,0.94084,0.91242,0.95124,0.65842,1.14433,0.54129,1.28783,7.93e-05,7.93e-05,7.93e-05
95,1717.52,0.86797,0.44896,1.15675,0.93362,0.91811,0.95027,0.65588,1.14816,0.53993,1.29123,6.94e-05,6.94e-05,6.94e-05
96,1735.23,0.86093,0.45108,1.15304,0.92589,0.92798,0.95025,0.65519,1.14702,0.53595,1.29336,5.95e-05,5.95e-05,5.95e-05
97,1754.41,0.85832,0.44286,1.14654,0.93148,0.92013,0.94969,0.65591,1.14884,0.53696,1.29523,4.96e-05,4.96e-05,4.96e-05
98,1772.81,0.85176,0.44073,1.14094,0.93579,0.91841,0.94959,0.65687,1.14816,0.53567,1.29446,3.97e-05,3.97e-05,3.97e-05
99,1790.8,0.84426,0.43692,1.13556,0.93632,0.91489,0.95064,0.65858,1.14719,0.53482,1.29377,2.98e-05,2.98e-05,2.98e-05
100,1808.76,0.838,0.43458,1.13612,0.93941,0.91897,0.95248,0.65855,1.14575,0.53406,1.29246,1.99e-05,1.99e-05,1.99e-05
