epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1354.87,0.96099,0.60037,1.20433,0.93637,0.92728,0.9612,0.66515,1.12865,0.50329,1.29754,0.0003862,0.0003862,0.0003862
64,1375.83,0.96317,0.59706,1.20759,0.93787,0.93364,0.96141,0.66658,1.12805,0.49743,1.29892,0.0003763,0.0003763,0.0003763
65,1396.54,0.9554,0.58197,1.19427,0.94192,0.93131,0.96114,0.66844,1.11248,0.50184,1.28564,0.0003664,0.0003664,0.0003664
66,1417,0.94496,0.58121,1.19872,0.94146,0.93366,0.96294,0.67117,1.11564,0.48885,1.28575,0.0003565,0.0003565,0.0003565
67,1438.49,0.95672,0.58739,1.19617,0.93965,0.93354,0.95824,0.6698,1.11835,0.4907,1.28711,0.0003466,0.0003466,0.0003466
68,1459.83,0.9574,0.58583,1.19676,0.9415,0.92769,0.96088,0.6713,1.11141,0.49268,1.28033,0.0003367,0.0003367,0.0003367
69,1480.76,0.92769,0.57076,1.18475,0.94931,0.92747,0.96164,0.67068,1.12042,0.49148,1.28968,0.0003268,0.0003268,0.0003268
70,1502.05,0.94087,0.57411,1.18971,0.95355,0.91858,0.96083,0.668,1.11448,0.48645,1.29092,0.0003169,0.0003169,0.0003169
71,1523.16,0.92461,0.56615,1.18829,0.94022,0.93274,0.96094,0.6703,1.11711,0.48983,1.2927,0.000307,0.000307,0.000307
72,1544.2,0.92598,0.562,1.18087,0.94767,0.91964,0.96257,0.66867,1.11713,0.48881,1.28905,0.0002971,0.0002971,0.0002971
73,1565.61,0.92521,0.55852,1.18008,0.94105,0.93244,0.96306,0.67163,1.102,0.48352,1.28383,0.0002872,0.0002872,0.0002872
74,1587.01,0.90959,0.54707,1.17719,0.93754,0.9317,0.96181,0.67229,1.11089,0.48152,1.28759,0.0002773,0.0002773,0.0002773
75,1608.91,0.91243,0.55424,1.17601,0.93347,0.9339,0.96059,0.67142,1.11089,0.49069,1.27946,0.0002674,0.0002674,0.0002674
76,1629.71,0.90751,0.55193,1.17098,0.93746,0.92598,0.95718,0.67139,1.12041,0.48971,1.29613,0.0002575,0.0002575,0.0002575
77,1651.14,0.89863,0.54597,1.17726,0.94293,0.93079,0.96167,0.67399,1.11731,0.48567,1.29023,0.0002476,0.0002476,0.0002476
78,1672.32,0.89911,0.54013,1.1579,0.9491,0.92573,0.96126,0.67308,1.11569,0.48384,1.28676,0.0002377,0.0002377,0.0002377
79,1693.34,0.88552,0.53111,1.16077,0.94112,0.92897,0.96114,0.67342,1.11953,0.48694,1.29176,0.0002278,0.0002278,0.0002278
80,1714.22,0.90078,0.54069,1.16668,0.9374,0.92862,0.95927,0.67426,1.11049,0.48336,1.28781,0.0002179,0.0002179,0.0002179
81,1736,0.88243,0.52777,1.15968,0.92593,0.93502,0.96105,0.67585,1.11092,0.48267,1.28545,0.000208,0.000208,0.000208
82,1757.28,0.87224,0.52444,1.15336,0.94519,0.92438,0.96076,0.66913,1.12127,0.48726,1.29564,0.0001981,0.0001981,0.0001981
83,1778.4,0.86829,0.51952,1.15038,0.94825,0.92151,0.96018,0.6715,1.10598,0.47937,1.28436,0.0001882,0.0001882,0.0001882
84,1799.53,0.87255,0.52194,1.15613,0.93938,0.93654,0.96317,0.6747,1.1075,0.47361,1.28092,0.0001783,0.0001783,0.0001783
85,1820.78,0.87531,0.5257,1.15391,0.9412,0.93121,0.96365,0.67464,1.10649,0.47126,1.285,0.0001684,0.0001684,0.0001684
86,1841.74,0.85337,0.50977,1.13853,0.94679,0.92342,0.96317,0.67321,1.1082,0.4801,1.28813,0.0001585,0.0001585,0.0001585
87,1863.07,0.86384,0.51268,1.142,0.93944,0.94083,0.96614,0.67654,1.11067,0.47593,1.29099,0.0001486,0.0001486,0.0001486
